Sequence#	Timestamp	Hostname	Version	Logger	Severity	Message
1	20210629T142201.892-0400	127.0.0.1	5.35.0	Global	INFO	Configuration: {"context":"desktop","version":"5.35.0","port":"4848","additionalPort":"9070","hostname":"127.0.0.1","dataPath":"C:\\Users\\leninne.pirovano\\Documents\\Qlik\\Sense","globPath":"C:\\Users\\leninne.pirovano\\AppData\\Local\\Programs\\Qlik\\Sense\\BrokerService\\service-configs","logPath":"C:\\Users\\leninne.pirovano\\Documents\\Qlik\\Sense\\Log","ssl":0}
2	20210629T142201.896-0400	127.0.0.1	5.35.0	Global	INFO	Globbing for services in: C:\Users\leninne.pirovano\AppData\Local\Programs\Qlik\Sense\BrokerService\service-configs
3	20210629T142201.913-0400	127.0.0.1	5.35.0	Global	INFO	Found service configs: C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/about.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/ads.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/bot-channel.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/capability.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/connector-registry-proxy.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/converter.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/dbws.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/depgraph.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/downloadprep.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/dps.desktop.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/dps.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/engine.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/enginerest.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/export.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/hds.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/hub.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/hybrid-setup-console.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/nl-app-search.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/nl-broker.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/odag.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/precedent.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/qdc.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/qep.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/qmr.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/qns.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/wcs.json,C:/Users/leninne.pirovano/AppData/Local/Programs/Qlik/Sense/BrokerService/service-configs/wes.json
4	20210629T142201.952-0400	127.0.0.1	5.35.0	Global	INFO	Forwarding requests against /api/about/* to 127.0.0.1:9078
5	20210629T142201.953-0400	127.0.0.1	5.35.0	Global	INFO	Forwarding requests against /api/v1/locale/* to 127.0.0.1:9078
6	20210629T142201.953-0400	127.0.0.1	5.35.0	Global	INFO	Forwarding requests against /api/capability/* to 127.0.0.1:9075
7	20210629T142201.953-0400	127.0.0.1	5.35.0	Global	INFO	Forwarding requests against /api/v0/features/* to 127.0.0.1:9075
8	20210629T142201.954-0400	127.0.0.1	5.35.0	Global	INFO	Forwarding requests against /api/v1/features/* to 127.0.0.1:9075
9	20210629T142201.954-0400	127.0.0.1	5.35.0	Global	INFO	Forwarding requests against /api/connector-registry-proxy/* to 127.0.0.1:9051
10	20210629T142201.955-0400	127.0.0.1	5.35.0	Global	INFO	Forwarding requests against /api/converter/* to 127.0.0.1:9077
